"Promedio_Parcial,Asistencia,Horas_Estudio,Accesos_Moodle,Tareas,Calificacion_Final,Resultado"
"70,68,4,20,3,41,Reprueba"
"96,82,10,37,9,83,Aprueba"
"91,87,10,38,9,83,Aprueba"
"84,84,9,27,10,72,Aprueba"
"72,80,2,1,0,41,Reprueba"
"85,84,7,40,7,77,Aprueba"
"60,74,2,25,6,40,Reprueba"
"92,97,5,20,7,70,Aprueba"
"76,94,5,25,9,70,Aprueba"
"95,84,8,46,10,84,Aprueba"
"59,69,2,23,5,41,Reprueba"
"94,84,4,36,8,82,Aprueba"
"95,82,10,41,7,86,Aprueba"
"54,69,5,19,5,42,Reprueba"
"77,88,10,22,8,71,Aprueba"
"67,62,5,16,0,40,Reprueba"
"66,74,3,7,6,41,Reprueba"
"67,66,2,2,3,40,Reprueba"
"81,80,6,26,9,72,Aprueba"
"64,82,2,23,0,40,Reprueba"
"65,81,2,24,0,40,Reprueba"
"58,71,2,23,2,40,Reprueba"
"62,80,3,13,2,40,Reprueba"
"69,84,1,20,6,44,Reprueba"
"84,93,5,37,7,70,Aprueba"
"68,62,1,23,4,40,Reprueba"
"71,82,5,7,0,40,Reprueba"
"77,88,4,45,8,70,Aprueba"
"86,90,4,43,9,80,Aprueba"
"70,68,3,20,1,40,Reprueba"
"89,87,9,50,7,86,Aprueba"
"59,75,0,17,1,40,Reprueba"
"91,95,6,43,7,76,Aprueba"
"96,92,5,24,7,70,Aprueba"
"92,96,6,40,8,81,Aprueba"
"69,72,2,23,3,40,Reprueba"
"52,66,0,13,3,40,Reprueba"
"74,66,3,11,6,46,Reprueba"
"77,88,7,42,7,76,Aprueba"
"69,80,4,8,0,40,Reprueba"
"52,66,4,25,3,40,Reprueba"
"73,64,3,11,3,40,Reprueba"
"86,83,8,42,7,72,Aprueba"
"72,70,5,13,2,40,Reprueba"
"62,71,2,14,1,40,Reprueba"
"75,100,4,45,9,74,Aprueba"
"81,95,5,33,9,70,Aprueba"
"64,61,2,21,5,40,Reprueba"
"72,85,4,4,4,43,Reprueba"
"83,81,5,26,9,70,Aprueba"
"76,82,7,33,7,70,Aprueba"
"51,80,5,9,1,40,Reprueba"
"57,75,4,7,4,40,Reprueba"
"91,88,8,48,8,82,Aprueba"
"98,100,4,36,8,74,Aprueba"
"82,82,8,29,10,77,Aprueba"
"91,80,5,50,9,81,Aprueba"
"89,83,9,46,10,84,Aprueba"
"89,80,6,31,9,78,Aprueba"
"69,62,4,6,3,40,Reprueba"
"79,81,9,31,10,78,Aprueba"
"81,87,6,26,8,70,Aprueba"
"62,68,1,25,4,41,Reprueba"
"53,67,1,4,4,40,Reprueba"
"63,71,1,15,0,40,Reprueba"
"91,99,9,41,7,81,Aprueba"
"73,69,5,24,1,40,Reprueba"
"89,84,7,23,10,75,Aprueba"
"52,77,0,0,6,40,Reprueba"
"52,60,1,3,3,40,Reprueba"
"94,80,7,49,9,86,Aprueba"
"70,64,1,8,3,40,Reprueba"
"58,69,0,23,6,40,Reprueba"
"94,83,7,21,8,74,Aprueba"
"79,80,5,38,10,70,Aprueba"
"50,64,0,13,5,40,Reprueba"
"73,82,5,24,3,47,Reprueba"
"77,92,7,32,7,70,Aprueba"
"85,94,6,39,7,77,Aprueba"
"89,85,4,30,7,73,Aprueba"
"72,74,3,25,2,47,Reprueba"
"83,88,4,48,8,74,Aprueba"
"89,98,7,31,9,79,Aprueba"
"82,81,6,26,9,70,Aprueba"
"69,80,5,6,0,40,Reprueba"
"71,67,5,17,6,49,Reprueba"
"58,72,1,6,0,40,Reprueba"
"86,98,4,49,8,79,Aprueba"
"88,97,6,39,9,84,Aprueba"
"90,97,7,44,9,81,Aprueba"
"59,82,4,9,3,40,Reprueba"
"58,84,2,3,4,40,Reprueba"
"80,88,6,20,8,70,Aprueba"
"65,66,2,24,6,43,Reprueba"
"98,83,8,21,9,82,Aprueba"
"67,66,5,2,0,40,Reprueba"
"62,78,0,11,3,40,Reprueba"
"76,83,8,34,7,70,Aprueba"
"97,88,7,36,10,81,Aprueba"
